original_triage,intermediate_triage
urgent ควรไปพบแพทย์ใน 2-3 วัน,seek medical advice (3 days)
ควรไปพบแพทย์ถ้าไม่ทุเลาใน 3-4 วัน,seek medical advice (3 days)
นัดหมายแพทย์ เพื่อตรวจเพิ่มเติม,routine medical appointment
พบแพทย์ใน 2-3 วัน,seek medical advice (3 days)
ควรไปพบแพทย์ ภายใน 2-3 วัน,seek medical advice (3 days)
ควรพบแพทย์ใน 24 ชม,seek medical advice (1 day)
รักษาตามอาการ ควรพบแพทย์เมื่อมีไข้เกิน 4 วัน อาการคัดจมูกไม่ทุเลาลงใน 1 สัปดาห์ หรือสังสัยภาวะแทรกซ้อน,self care
see a doctor in 24 hours,seek medical advice (1 day)
ควรไปพบแพทย์ภายใน 6 ชั่วโมง,seek medical advice (6 hours)
ควรไปพบแพทย์ ถ้ามีอาการเจ็บตามากหรือตาพร่ามัว/มีขี้ตาแฉะ/อาการไม่ทุเลาภายใน 1 สัปดาห์/มีความวิตกกังวล,self care
ควรไปพบแพทย์ ถ้าไม่ดีขึ้นใน 1 สัปดาห์ หรือเดินลำบาก,self care
ควรไปพบแพทน์ใน 2-3 วัน,seek medical advice (3 days)
see a doctor within 6 hours,seek medical advice (6 hours)
see doctor in 24 hours,seek medical advice (1 day)
ควรพบแพทย์ใน 2-3 วัน,seek medical advice (3 days)
see a primary care doctor within 1-2 days,seek medical advice (3 days)
ควรไปพบแพทย์ ภายใน 1 สัปดาห์ เพื่อตรวจหาสาเหตุ,seek medical advice (1 week)
see a doctor in 2-3 days,seek medical advice (3 days)
ควรไปพบแพทย์ภายใน 1-2 วัน,seek medical advice (3 days)
call emergency,emergency medical services
ควรไปพบแพทย์ ภายใน 24 hr,seek medical advice (1 day)
ควรไปพบแพทย์ใน 1 สัปดาห์,seek medical advice (1 week)
เอียงหูต่ำเคาะศีรษะเบา ๆ ไปพบแพทย์ถ้าไม่ได้ผลหรือไม่มั่นใจที่จะแก้ไขเอง,self care
ควรไปพบแพทย์ถ้าไม่ดีขึ้นภายใน 2-3 วัน เพื่อตรวจหาสาเหตุ,self care
non-urgent gp,routine medical appointment
ควรไปพบแพทย์ ภายใน 24 ชั่วโมง,seek medical advice (1 day)
ควรไปพบแพทย์ภายใน 24 ชั่วโมง หรือ ทันทีหากมีอาการหายใจลำบาก,seek medical advice (1 day)
ควรไปพบแพทย์ 2-3 วัน,seek medical advice (3 days)
ควรไปพบแพทย์ ถ้าไม่ได้ผลภายใน 1 สัปดาห์,seek medical advice (1 week)
ควรพบแพทย์ด่วน,emergency medical service
see a doctor in 24 h,seek medical advice (1 day)
ควรไปพบแพทย์ ถ้าไม่ดีขึ้นใน 1 สัปดาห์ หรือมีไข้เกิน 7 วัน/ปวดข้อรุนแรง/ข้อบวมแดงร้อน/ซีด/น้ำหนักลด/มีความวิตกกังวล,self care
ควรไปพบแพทย์ภายใน 6 ชั่วโมงหากกระดูกหักแบบปิด หรือ ทันทีหากเป็นกระดูกหักแบบเปิด,seek medical advice (6 hours)
"ควรไปพบแพทย์ด่วน เพื่อตรวจอาการเพิ่มเติม เนื่องจากอาการของคุณข้างต้นอาจเป็นสัญญาณของ หลอดเลือดแดงใหญ่โป่งพอง, ภาวะเลือดเซาะผนังหลอดเลือดแดงใหญ่ หรือสาเหตุร้ายแรงอื่น ๆ",emergency medical services
ควรไปพบแพทย์ ถ้าไม่ดีขึ้นใน 2 สัปดาห์ หรือน้ำหนักลด,self care
ควรไปพบแพทย์ ถ้าไม่ดีขึ้นใน 2-3 วัน,self care
